cgpa,project_score,sports_score,internships,certifications,workshops,clubs,problemSolvingRank,extraPoints,coPoints,attendance,tier
8.65,184,366,0,6,5,2,974,47,98,91,1
8.41,333,322,0,0,2,0,2940,14,64,80,2
6.65,2,320,1,5,2,2,72,30,24,76,1
6.94,440,268,1,0,4,3,2790,46,9,91,2
6.09,160,117,0,1,2,3,2012,47,32,84,3
9.34,390,191,1,2,0,3,2378,2,56,92,2
9.9,259,316,3,0,3,3,1000,44,41,76,1
6.54,422,287,3,5,3,0,1678,49,51,92,1
6.93,47,395,2,4,3,1,62,34,62,83,1
9.47,253,350,3,3,2,2,2227,35,14,97,1
9.71,73,296,0,4,3,3,1742,68,7,95,2
7.68,334,193,0,1,0,1,1734,25,37,75,2
6.2,399,488,2,6,4,2,127,89,27,84,1
6.16,165,391,4,7,0,0,2557,51,71,65,2
8.3,259,442,2,7,4,4,1884,23,87,86,1
7.57,3,280,4,3,3,0,1830,5,1,97,2
6.11,375,388,4,0,5,4,1167,70,2,70,1
8.33,118,300,1,5,1,3,2788,51,24,88,2
6.05,483,385,3,0,4,1,9,27,33,89,1
9.15,410,425,4,7,0,1,2796,44,35,95,1
7.23,469,249,1,3,0,2,2787,77,80,86,2
6.16,469,421,2,7,5,4,1339,38,51,66,1
8.35,272,230,2,0,1,4,1261,84,18,61,2
7.59,492,2,4,3,4,2,1846,10,92,68,1
9.9,225,173,1,2,4,1,145,75,61,83,1
8.18,351,239,0,1,0,1,2642,49,51,87,2
7.1,499,485,3,7,4,2,2041,33,82,78,1
8.84,69,405,4,5,1,4,1008,34,100,74,1
7.09,181,103,0,4,4,3,1620,70,99,61,2
9.62,352,288,3,3,4,2,1549,22,29,73,1
7.5,263,243,0,6,1,1,1995,0,10,77,2
8.2,369,287,1,3,3,3,627,19,8,69,1
6.2,180,366,4,2,4,3,1323,31,100,65,1
7.7,483,272,0,6,5,4,476,97,97,90,1
9.33,4,119,0,5,0,2,2312,53,19,80,2
9.22,196,337,0,5,2,3,2795,19,3,82,2
6.9,46,439,4,4,0,0,404,77,68,76,1
6.9,457,258,1,2,5,3,123,68,52,98,1
9.27,39,69,1,2,0,3,1234,87,76,93,2
9.72,121,432,0,1,3,3,199,20,67,66,1
6.38,134,182,1,0,3,2,556,75,9,65,2
7.8,139,460,3,5,0,4,1505,65,65,60,1
7.35,349,246,1,5,4,4,1203,73,54,77,1
9.48,152,117,0,4,0,0,1141,12,9,94,2
6.33,27,30,3,2,5,0,2807,94,46,62,2
6.84,426,464,4,6,4,3,1438,45,65,60,1
9.01,76,148,2,0,1,3,1891,23,79,62,2
6.21,174,15,1,6,1,3,613,25,70,77,1
7.97,48,272,3,0,3,0,402,32,72,74,1
7.77,341,351,2,0,2,4,2428,40,23,73,2
7.34,309,384,4,5,2,0,281,87,72,96,1
7.58,273,367,2,6,5,4,1639,0,45,76,1
8.12,26,101,4,6,3,0,162,8,92,87,1
6.65,327,71,0,0,1,4,44,94,7,75,2
8.29,389,192,0,1,3,0,2294,58,11,88,2
9.22,458,321,4,1,1,4,1503,87,1,78,1
9.04,220,110,2,2,4,2,2524,42,8,83,2
6.62,121,292,1,7,5,2,1626,25,70,79,2
6.6,360,407,2,0,1,1,2924,38,28,87,2
7.07,68,346,2,6,1,4,1940,53,95,80,2
7.44,70,339,1,2,1,4,1352,21,83,82,2
7.63,149,366,2,7,2,4,1794,96,22,65,1
8.72,186,317,2,3,1,1,2162,95,88,67,2
6.23,430,276,3,5,0,0,2546,96,78,70,2
6.14,372,105,4,1,4,2,1826,72,32,96,2
7.57,245,36,0,1,2,1,823,14,99,69,2
8.79,195,290,4,5,0,2,469,85,93,76,1
6.77,31,421,2,4,2,3,1992,79,15,71,2
8.57,466,180,1,3,2,1,2263,98,8,76,2
7.04,108,142,1,6,0,1,2667,88,73,97,2
9.54,352,113,0,1,3,2,2888,98,35,85,2
9.58,0,237,0,6,5,4,2117,24,54,83,2
7.19,181,425,0,0,5,3,1128,100,31,61,2
6.92,173,93,1,5,5,2,321,52,46,93,1
7.65,168,259,2,0,3,1,1918,9,13,91,2
6.96,247,106,0,5,1,4,940,79,34,83,2
8.69,107,243,0,6,0,3,2347,17,13,89,2
9.3,369,422,1,0,1,4,1474,49,0,73,2
8.69,296,334,2,5,5,2,2325,28,50,81,1
9.3,263,22,0,6,3,4,445,16,87,88,1
7.59,415,360,2,6,0,1,141,57,75,79,1
6.63,29,270,3,2,0,1,882,3,47,75,2
8.95,301,473,0,1,0,0,1526,67,57,75,2
7.44,475,139,0,2,1,3,1052,52,40,67,2
8.69,360,465,1,6,2,2,158,78,72,61,1
7.08,435,453,3,1,2,4,1130,3,12,83,1
6.32,351,383,3,4,5,1,1666,12,56,75,1
9.97,472,81,3,2,2,0,826,49,25,75,1
6.62,481,376,4,1,0,2,1235,52,14,61,1
9.95,316,497,1,4,3,1,1018,55,79,63,1
9.91,224,437,1,6,1,2,2069,69,9,69,1
9.18,396,343,0,1,1,1,1370,68,16,82,2
8.64,88,421,1,3,3,2,1198,54,9,73,2
8.31,233,155,0,5,2,1,2265,32,46,83,2
9.46,167,334,0,2,5,4,851,69,9,69,2
7.16,230,18,4,0,4,3,2585,33,60,90,2
7.87,125,68,1,4,3,1,489,68,34,85,1
8.48,60,447,1,4,2,2,2361,57,7,74,2
7.64,119,131,4,6,0,1,2708,35,9,86,2
7.71,427,255,4,6,3,0,2822,12,70,87,1
7.32,496,208,1,0,2,4,2737,91,97,80,2
8.26,189,500,1,4,1,0,978,6,64,73,1
9.4,120,9,0,0,4,2,871,56,68,66,2
6.81,427,139,2,0,4,1,162,8,80,98,1
9.74,47,452,0,1,4,1,1418,25,47,65,2
8.76,201,134,3,2,2,0,289,96,19,94,1
9.29,58,254,3,3,2,3,951,54,67,75,1
8.22,184,299,2,4,0,4,2737,22,45,85,2
9.12,222,406,4,1,4,1,1987,100,97,63,1
6.06,491,257,3,3,1,1,30,55,35,69,1
9.27,10,93,4,3,5,2,1511,25,0,100,1
6.16,280,371,4,4,4,0,211,74,49,85,1
9.56,188,240,0,4,3,2,469,48,59,72,1
9.97,301,236,4,1,3,4,2363,76,28,67,1
7.18,309,164,2,4,1,1,2806,51,19,86,2
6.84,499,324,0,3,2,0,1516,90,28,71,2
9.06,236,147,2,4,5,0,2335,65,15,91,2
7.01,33,217,4,5,4,0,277,60,79,75,1
9.46,339,427,3,5,5,4,1297,15,99,94,1
6.41,134,107,4,1,3,3,2997,92,39,81,2
6.5,480,230,2,1,1,3,435,19,87,66,1
9.92,61,69,1,1,0,3,408,95,16,91,1
8.7,312,220,1,4,3,2,2277,86,90,86,2
9.39,226,73,3,2,3,2,2658,72,72,77,2
7.3,92,178,2,1,4,4,1711,95,19,100,2
8.71,115,79,3,2,2,0,2320,3,45,70,2
8.38,331,353,0,0,3,3,826,49,23,98,2
8.41,132,158,4,1,3,1,1450,41,41,66,1
8.73,331,355,0,2,4,3,396,9,84,88,1
8.3,476,168,1,6,2,4,1596,3,80,63,1
7.72,418,313,4,7,5,3,781,55,49,76,1
7.1,467,388,0,2,0,1,1314,74,30,84,2
9.07,292,160,1,3,5,1,2493,65,13,97,2
6.91,443,426,0,7,0,1,923,91,36,96,1
8.77,192,402,4,6,0,4,2278,61,12,69,1
6.93,399,31,0,7,0,3,1109,11,92,95,1
8.5,29,120,4,2,2,4,501,39,96,75,1
8.99,456,214,0,3,0,1,1859,84,84,71,2
6.87,297,2,3,5,4,3,1643,44,42,76,1
6.24,60,384,0,5,4,2,230,97,5,68,2
6.52,457,227,0,5,4,4,246,97,78,99,1
8.42,460,424,3,2,0,2,101,35,13,91,1
9.4,303,475,1,2,4,2,2857,49,31,77,2
6.18,445,47,4,0,4,0,1694,53,62,83,1
8.94,339,166,2,2,1,1,1069,66,8,67,1
7.37,348,388,1,4,0,2,74,38,45,92,1
7.91,447,332,4,4,4,4,257,5,73,71,1
9.72,440,10,0,5,5,1,1127,64,82,93,1
7.33,323,237,1,6,2,1,1116,11,66,62,1
7.86,301,277,0,6,4,4,1261,0,31,99,2
6.05,368,240,1,4,1,3,2771,83,0,60,2
6.33,27,470,1,0,2,4,1630,35,15,88,2
7.03,484,191,2,2,2,3,84,37,31,64,1
6.11,76,11,3,0,5,1,948,47,65,97,2
8.53,120,52,1,6,5,4,532,46,99,80,1
7.71,2,54,0,2,5,2,1047,2,82,93,2
8.19,36,308,2,3,3,4,863,49,46,89,1
6.7,431,20,1,0,1,2,1632,50,78,79,2
7.18,146,18,3,5,1,2,2932,44,4,90,2
8.66,91,452,0,6,4,1,858,19,13,83,1
9.86,338,343,2,4,1,3,974,45,68,99,1
6.2,272,349,4,4,2,3,2822,71,10,96,2
9.56,465,455,3,4,2,2,2056,10,26,61,1
8.31,465,321,4,6,4,3,1660,55,38,69,1
8.26,376,314,4,2,2,4,1156,0,100,89,1
8.0,86,432,2,2,4,2,2141,29,6,98,2
6.28,39,481,2,0,5,2,930,59,1,61,2
6.36,177,58,2,5,3,0,2360,40,48,96,2
8.4,328,150,4,7,1,4,1675,51,41,62,1
7.36,284,258,0,1,1,3,2342,77,22,71,2
9.67,434,439,2,6,1,3,2781,19,20,94,1
7.63,41,371,3,2,3,0,1453,29,86,60,2
6.57,284,57,2,6,1,4,598,44,0,60,1
8.86,65,215,2,1,5,1,442,75,28,88,1
7.17,123,61,2,1,3,1,2678,11,50,95,2
8.1,144,145,4,2,3,4,1698,38,34,68,1
8.79,119,444,0,7,4,3,622,65,34,71,1
9.6,108,381,2,7,5,1,2891,86,36,71,2
9.17,414,238,4,0,0,1,1116,74,46,69,1
8.71,91,292,3,5,0,3,2423,47,17,81,2
8.72,490,181,0,7,4,4,2712,12,96,97,2
9.78,367,368,4,6,4,0,586,61,5,78,1
7.18,307,94,1,1,4,4,463,17,73,72,1
6.0,422,77,3,0,1,0,1343,18,27,98,2
7.09,59,448,3,0,2,4,621,26,57,79,2
6.87,349,141,1,5,4,1,1511,10,75,95,2
8.65,226,104,4,2,3,2,917,29,67,95,1
8.53,239,260,4,7,0,2,932,0,24,85,1
8.37,434,94,3,5,1,3,1778,76,70,83,1
6.06,211,222,4,6,5,4,2864,58,37,74,2
8.92,399,477,1,1,2,4,1876,7,83,99,2
7.29,97,483,4,0,0,3,2,62,54,94,1
8.66,13,189,3,1,0,3,1647,21,43,79,2
8.23,217,128,4,6,0,0,775,19,22,82,1
7.37,467,318,0,6,3,0,1242,77,58,80,1
6.54,169,194,1,0,3,2,990,13,71,75,2
6.38,306,19,1,2,3,1,2323,79,80,93,2
9.33,279,298,2,6,2,4,936,18,28,63,1
9.67,362,239,4,0,0,2,2069,38,47,67,1
8.6,209,234,1,2,4,2,1338,92,98,77,2
6.41,255,84,4,2,2,1,410,37,53,82,1
7.61,170,93,0,1,3,2,804,72,25,77,2
8.92,72,41,3,1,3,2,300,49,9,96,1
9.12,146,363,3,5,3,1,2045,5,74,75,1
6.47,339,349,2,1,5,2,2075,25,78,85,2
6.0,316,452,2,3,1,4,2696,48,81,85,2
8.85,105,73,1,1,5,3,1882,99,67,77,2
7.43,93,471,1,1,0,1,1409,19,90,94,2
7.02,62,364,1,5,4,3,2687,24,68,79,2
6.05,153,114,0,0,0,4,1815,7,69,79,3
8.16,254,422,2,5,2,2,73,26,9,91,1
9.4,350,189,2,7,1,2,1055,20,18,70,1
9.83,34,431,3,3,2,2,1415,74,75,72,1
8.26,322,124,2,3,3,3,199,82,58,93,1
8.06,311,5,2,6,3,0,2524,12,23,72,2
6.34,295,457,0,0,4,3,2429,46,79,87,3
8.2,252,378,1,1,0,0,2530,4,72,66,2
7.52,156,41,0,5,2,3,2485,89,76,92,2
8.43,133,57,4,6,5,4,2192,70,17,81,1
7.55,435,426,3,4,3,3,714,12,31,86,1
6.96,128,9,3,2,4,3,2222,87,18,90,2
6.38,435,88,3,3,4,1,233,23,37,99,1
7.26,279,333,1,6,2,2,1822,97,20,65,2
6.39,357,110,1,0,0,2,1459,38,55,99,2
6.71,417,38,1,6,1,2,1566,67,84,88,1
9.95,370,396,3,4,4,0,1756,83,56,89,1
7.78,251,458,3,2,2,4,2323,76,48,82,2
8.13,134,166,3,4,3,0,1436,56,5,94,1
9.49,330,10,4,1,1,1,6,54,54,91,1
9.98,10,109,4,7,1,1,603,59,1,64,1
8.33,291,496,3,0,0,3,2212,52,5,62,2
9.25,147,15,1,2,2,1,1071,93,80,98,2
7.31,318,32,1,2,0,1,23,100,29,74,1
7.22,79,232,4,7,4,4,2784,22,54,61,2
7.61,190,488,4,1,4,1,2392,43,10,90,2
8.69,452,187,3,1,5,3,1935,61,24,92,1
8.73,343,223,3,1,2,2,579,76,34,92,1
7.26,29,58,1,0,3,0,2515,37,72,73,3
6.53,413,457,2,3,5,0,1323,57,88,89,1
8.53,358,50,1,4,5,0,1395,13,7,93,1
6.51,367,270,1,0,4,3,994,35,66,88,2
8.31,494,463,3,0,4,4,172,56,89,67,1
8.77,228,42,2,4,3,3,1256,55,85,72,1
8.8,480,26,2,6,5,0,486,40,23,75,1
9.01,83,55,3,2,1,3,707,4,20,84,1
9.49,149,120,0,6,2,3,1184,74,15,99,1
8.0,360,112,3,4,1,3,43,15,45,92,1
8.92,188,315,4,1,0,2,1136,75,35,98,1
8.48,20,114,2,2,3,3,747,16,9,62,1
6.75,36,108,3,7,2,4,1482,30,65,72,1
6.1,245,479,1,6,3,2,1419,71,96,97,2
7.14,282,453,1,0,3,3,2166,11,90,72,2
7.77,101,174,1,4,1,1,1486,7,16,85,2
8.47,418,111,3,0,1,0,479,12,74,93,1
9.4,293,99,0,6,0,2,2950,22,72,70,2
6.78,231,7,4,5,2,1,241,4,56,92,1
6.5,315,446,1,0,3,0,2878,71,9,80,3
9.85,325,472,3,7,5,4,633,2,74,82,1
6.43,287,134,0,4,0,1,2998,68,78,99,3
7.91,335,250,2,5,3,4,235,41,65,80,1
8.34,475,336,2,5,0,4,2616,41,16,98,1
8.17,463,239,4,5,3,1,338,24,74,77,1
6.34,410,221,3,0,1,1,599,95,31,70,1
6.23,244,385,3,3,4,2,2462,79,68,76,2
6.42,386,144,1,3,0,4,896,74,17,60,2
8.34,176,376,0,0,0,1,491,23,45,62,2
8.18,212,3,4,2,4,4,1283,87,100,64,1
6.93,357,281,0,2,1,3,963,53,45,83,2
8.55,101,333,4,7,0,3,1311,38,1,98,1
9.28,285,327,3,2,1,3,1223,59,26,91,1
6.17,21,196,3,2,5,4,567,45,7,77,2
7.99,18,388,4,3,3,4,971,60,91,100,1
8.76,286,127,0,6,5,1,2032,45,27,99,2
7.01,275,260,2,2,3,1,2140,21,55,79,2
7.23,494,90,2,4,4,2,892,81,48,61,1
8.45,146,324,1,2,2,2,2276,80,68,67,2
9.59,385,258,1,7,1,2,2329,64,93,61,1
9.24,39,421,0,4,2,0,2001,11,90,77,2
8.33,166,93,3,3,2,3,2999,86,26,69,2
8.92,90,256,0,4,1,4,1586,7,88,62,2
7.46,71,135,4,7,2,3,2598,96,26,61,2
8.56,364,12,2,5,0,4,2876,11,11,93,2
7.86,437,467,1,4,3,0,2740,80,3,65,2
6.76,282,197,0,0,5,4,1364,93,51,80,2
8.81,334,497,0,4,4,2,1994,76,56,75,2
8.23,139,177,4,7,1,3,1222,59,33,75,1
7.43,238,111,3,5,4,3,977,20,49,61,1
9.65,77,263,3,0,5,3,1197,8,23,75,1
6.08,198,413,2,5,3,0,612,27,35,91,1
7.26,16,368,1,2,4,3,624,70,52,97,2
6.23,217,423,3,4,1,1,2067,81,16,75,2
9.07,228,78,3,6,4,2,768,41,31,67,1
8.81,339,377,3,4,2,2,1669,32,53,86,1
7.33,137,255,0,1,2,4,2285,45,59,63,3
8.7,146,73,3,2,3,0,1450,63,54,91,1
7.58,209,382,4,7,2,4,2682,22,61,80,1
9.03,157,160,2,4,4,4,93,52,58,73,1
7.82,413,200,3,4,0,2,1893,64,75,64,1
7.65,152,368,1,1,4,1,1008,54,5,83,2
9.74,343,307,0,7,0,0,1797,38,31,89,1
7.0,329,376,4,0,4,0,1830,63,1,95,2
6.48,382,32,2,2,0,0,1163,82,15,80,2
8.34,449,72,0,7,0,1,1806,18,54,89,1
9.88,357,461,4,7,1,0,1754,3,90,83,1
7.51,351,351,0,1,1,3,482,6,67,82,2
6.25,162,292,2,2,5,1,2634,28,27,91,2
7.36,306,197,2,2,4,4,761,74,79,85,1
8.02,100,324,3,0,2,3,2826,92,22,79,2
6.65,326,387,1,0,1,4,2087,7,46,93,2
8.63,326,315,3,7,0,0,2656,44,9,61,1
9.99,154,239,0,3,4,1,226,72,60,68,1
7.81,9,463,3,1,2,3,2967,4,81,74,2
7.42,352,73,2,7,4,1,2528,94,98,61,2
7.6,426,30,2,5,0,1,2454,62,52,60,2
6.46,182,478,2,1,1,1,2391,73,67,80,2
9.53,454,13,3,6,1,4,2771,42,84,68,1
7.66,133,204,4,2,3,1,2455,87,58,100,2
7.55,5,315,3,3,3,0,2838,16,89,86,2
8.64,332,67,3,3,5,3,1758,74,15,97,1
7.77,431,127,3,6,5,2,1046,33,35,79,1
8.59,332,493,3,7,5,1,639,87,18,81,1
6.25,257,25,2,2,4,3,2433,7,20,76,2
9.25,210,407,1,0,4,4,674,43,98,61,1
9.76,50,183,3,3,2,4,1916,23,38,74,1
8.6,444,136,3,1,5,1,26,1,36,68,1
9.82,146,290,1,0,1,1,1712,7,56,92,2
6.61,497,105,3,4,5,0,1581,30,20,92,1
7.91,376,462,1,3,1,2,1292,43,84,63,1
8.41,127,23,2,2,5,1,2140,34,12,60,2
8.33,485,414,4,1,3,1,1317,57,0,68,1
7.61,257,338,3,6,0,0,387,3,34,67,1
7.35,50,449,4,3,0,4,1757,75,96,75,2
6.51,153,193,3,2,5,2,980,79,49,88,2
7.57,69,168,0,7,3,4,1154,21,52,99,2
6.65,275,35,0,7,4,1,952,80,8,69,2
8.94,278,100,2,1,5,2,485,88,94,82,1
6.84,309,33,4,3,5,1,111,57,85,69,1
6.23,398,376,4,1,1,0,1938,14,56,89,2
8.21,133,38,1,4,1,0,2761,19,5,60,2
8.38,219,210,1,6,5,4,2085,30,47,75,2
9.49,162,229,3,7,1,3,566,68,58,65,1
8.31,458,278,1,6,0,4,895,93,90,78,1
7.38,135,79,1,6,4,2,1129,53,86,93,2
9.21,56,237,4,1,5,0,2387,58,93,76,2
8.16,433,171,0,6,0,4,1214,90,66,70,1
6.32,176,325,4,6,4,0,665,45,83,88,1
8.26,114,441,1,2,3,3,1716,13,21,94,2
9.63,498,58,3,3,4,4,1777,80,20,87,1
7.59,471,409,0,2,0,0,2239,93,14,72,2
7.19,148,21,1,4,1,1,2959,3,48,63,2
6.57,240,364,1,5,0,3,1838,67,78,75,2
6.61,122,366,3,0,3,1,2104,66,49,93,2
7.73,291,343,3,1,1,2,1138,6,46,80,1
8.38,326,237,1,2,0,3,110,38,78,75,1
6.32,68,295,1,5,1,0,2499,98,68,79,2
9.76,313,340,4,3,3,1,153,76,40,97,1
9.02,62,93,2,3,4,2,789,35,83,94,1
8.35,220,243,3,0,4,1,2722,50,21,95,2
9.31,15,10,3,3,2,3,1012,35,91,76,1
6.32,389,116,4,6,1,1,1525,91,90,96,1
7.91,77,264,0,4,5,1,2520,31,76,82,2
8.52,121,11,0,0,3,4,193,77,61,94,2
9.31,435,153,0,4,0,0,925,35,77,65,1
9.13,257,37,3,7,5,1,2848,34,9,60,1
7.11,216,498,2,1,0,4,768,46,73,99,2
9.76,478,130,2,7,2,0,1391,59,18,60,1
6.5,113,381,4,4,0,3,897,68,90,62,1
9.5,369,224,0,1,3,3,1187,5,87,74,2
9.88,460,142,0,4,3,4,272,11,42,68,1
6.71,379,430,1,0,4,4,544,38,64,93,2
8.89,145,388,4,1,1,3,1263,61,26,84,1
6.16,464,53,4,5,1,2,1034,48,7,76,1
7.62,236,23,3,4,0,0,328,11,53,67,1
8.07,475,394,3,4,1,0,1615,71,80,61,1
8.32,459,120,4,7,2,4,1812,81,27,65,1
9.74,418,118,2,3,1,0,345,17,43,82,1
8.69,85,160,4,7,5,2,2444,73,90,72,1
7.93,166,470,2,6,0,0,2138,69,96,92,2
9.24,128,73,3,4,1,4,2500,4,23,69,2
9.8,164,184,4,3,5,1,444,86,64,94,1
6.09,276,435,2,4,3,1,1866,88,7,100,2
9.93,256,191,1,2,3,4,573,6,1,81,1
6.34,131,426,1,7,4,1,2447,42,17,72,2
9.26,479,219,4,3,4,0,2053,44,78,64,1
7.12,57,486,0,0,4,4,672,68,60,65,2
6.53,256,120,4,0,4,4,1120,30,41,100,1
7.76,140,208,3,1,1,4,918,18,39,71,1
8.58,173,383,3,5,5,1,2838,99,3,82,2
7.52,174,299,1,7,0,3,2880,43,63,88,2
6.22,208,345,2,5,1,1,2891,34,38,90,2
8.4,203,472,1,7,0,4,747,42,78,61,1
9.61,6,163,2,0,0,0,2669,72,89,81,2
7.53,50,267,4,1,0,3,1232,87,76,77,1
6.87,258,439,0,7,0,4,528,17,9,83,1
7.77,177,2,3,0,3,1,1985,60,100,73,2
6.19,409,49,4,3,5,2,2355,43,33,97,2
9.28,30,412,1,2,0,4,2012,72,90,100,2
9.31,355,363,4,1,1,0,1568,52,26,93,1
8.35,317,471,0,2,0,2,1651,55,44,63,2
7.41,153,210,2,4,3,2,2997,33,87,69,2
9.2,450,460,0,7,1,1,2276,32,94,67,1
8.22,363,15,1,7,5,1,1253,3,9,97,1
9.3,54,167,0,4,2,3,387,83,76,86,1
8.53,155,282,3,2,1,4,2874,22,82,89,2
9.14,43,378,0,3,3,3,24,49,36,62,1
8.39,80,325,4,2,5,3,2968,35,2,98,2
7.66,165,297,2,2,3,2,2565,89,14,88,2
9.83,494,184,3,2,4,1,1617,62,61,91,1
8.16,29,137,3,1,2,2,178,42,8,83,1
8.42,321,124,3,6,0,4,460,64,66,87,1
6.88,135,421,1,1,3,3,375,38,3,90,2
8.5,13,391,1,6,4,3,2450,42,28,78,2
8.29,356,401,4,2,4,4,289,31,28,88,1
6.74,482,479,2,5,5,3,1210,91,30,75,1
6.24,105,400,0,3,0,1,2975,87,59,92,3
8.42,358,57,4,7,5,1,2551,12,21,94,1
9.05,317,361,1,4,1,3,1186,59,81,82,1
8.09,74,65,4,4,2,4,2910,96,65,77,2
6.91,446,427,2,7,0,2,2029,11,43,98,1
8.67,78,339,4,4,5,3,1482,32,34,96,1
6.32,193,201,3,7,0,0,2079,13,11,72,2
7.77,484,8,0,0,1,1,2915,12,21,76,2
6.65,362,431,1,3,1,0,1103,47,89,67,2
6.74,95,422,1,1,3,0,187,60,88,94,2
6.81,39,104,2,4,1,0,2587,62,31,76,2
7.55,255,88,2,1,1,3,385,56,8,70,1
6.2,396,88,2,1,2,3,1100,36,63,78,2
7.59,106,343,1,1,5,0,2756,90,58,97,3
8.05,16,5,3,5,5,3,2455,3,73,72,2
7.93,14,157,0,1,2,0,1790,67,63,93,2
7.53,416,378,2,2,2,0,2914,56,98,81,2
9.36,498,329,1,1,0,2,820,61,47,79,1
6.58,271,102,3,0,2,2,953,15,52,95,2
8.02,498,222,2,1,2,2,599,38,31,90,1
6.25,12,401,2,4,4,4,2003,62,53,90,2
6.28,246,170,0,1,2,1,2171,81,40,77,3
8.3,213,32,0,4,0,3,1492,15,66,87,2
8.26,150,180,4,1,5,2,255,46,54,79,1
9.51,291,183,2,3,4,1,2260,94,93,93,1
8.23,42,402,4,2,0,1,2893,89,34,81,2
9.84,433,86,1,4,0,3,284,22,57,95,1
6.19,113,68,0,0,4,4,2328,51,68,67,3
6.39,329,379,3,1,4,0,2814,57,93,88,2
6.18,80,25,2,4,4,2,2518,65,0,81,2
6.74,349,412,2,5,4,4,1928,56,8,62,2
8.17,140,407,4,6,0,3,2776,37,48,61,1
8.58,29,5,0,7,4,4,2993,74,67,68,2
6.18,440,255,4,7,1,1,616,4,45,68,1
9.78,493,181,2,2,5,4,1859,46,83,85,1
9.37,29,294,0,5,2,2,2727,13,87,60,2
7.19,454,259,2,1,2,4,1133,79,36,100,1
6.31,265,383,0,2,5,4,2878,47,76,75,3
6.68,98,313,2,0,1,1,1082,40,76,77,2
6.51,449,303,3,4,5,4,958,50,18,98,1
6.49,93,315,4,0,0,1,1222,36,80,90,2
8.07,210,233,0,2,0,2,1956,20,19,60,2
6.98,294,281,4,3,2,2,1709,7,38,60,1
7.43,36,206,0,7,3,0,640,77,14,83,2
9.96,386,76,0,3,5,0,2383,8,96,73,2
8.74,88,167,0,5,1,1,1521,11,92,82,2
9.8,417,341,2,6,1,0,783,78,71,67,1
6.57,254,378,1,4,2,0,1342,24,20,61,2
7.53,213,460,2,7,4,3,1190,20,53,64,1
8.22,421,55,1,7,5,0,1011,45,9,97,1
6.31,13,294,2,7,3,4,2624,97,48,92,2
6.02,191,80,1,1,0,2,620,25,0,63,2
8.68,294,483,0,5,0,0,1780,67,31,98,2
8.57,181,166,0,0,0,1,1368,24,87,67,2
7.64,129,175,1,3,0,3,1735,39,13,88,2
7.96,223,280,1,7,1,3,2953,31,27,88,2
7.66,42,417,4,3,1,2,715,61,39,96,1
6.1,180,382,0,1,4,2,2000,28,51,97,3
7.34,386,148,2,0,1,1,967,85,26,89,1
6.71,168,255,4,2,4,1,2638,97,14,71,2
6.39,263,280,1,5,4,1,2588,18,60,99,2
9.83,473,344,2,3,0,3,1841,49,88,67,1
8.4,95,277,3,4,0,3,2850,69,61,78,2
8.91,202,278,3,4,1,1,506,19,0,62,1
7.26,497,408,3,2,1,0,201,79,3,99,1
7.57,446,205,2,7,4,0,2032,96,38,82,1
6.95,320,461,1,1,2,1,1044,8,26,75,2
6.39,334,409,2,1,0,1,2804,85,30,87,2
6.72,387,487,4,5,3,3,1894,33,50,85,1
9.19,67,29,4,3,2,0,469,82,83,71,1
8.71,91,217,3,7,0,2,2070,40,41,83,1
8.19,265,421,1,7,0,2,1964,36,62,73,1
7.9,330,469,4,5,1,4,25,67,87,77,1
9.69,177,230,0,3,3,2,1174,68,80,99,2
6.29,150,358,0,3,5,0,1341,63,29,82,2
7.12,316,161,3,7,3,3,2016,75,6,74,1
7.4,46,216,3,2,0,0,208,96,53,62,1
9.13,2,227,3,2,5,0,1013,50,96,99,1
9.97,486,332,4,7,5,2,2068,58,58,69,1
6.96,102,220,1,3,4,1,617,72,67,91,2
9.5,272,233,3,1,3,4,358,62,71,68,1
9.32,21,72,2,0,2,2,2733,43,65,68,2
6.9,115,398,3,3,4,2,2085,92,28,81,2
7.6,346,94,4,1,1,2,143,93,58,61,1
7.64,399,427,1,1,0,4,2892,92,33,92,2
9.91,463,474,3,4,0,3,2661,44,52,91,1
6.72,103,94,0,5,2,2,2220,51,80,70,2
9.2,258,393,3,0,2,3,1679,16,39,85,1
7.34,307,242,3,3,5,3,2604,34,57,89,2
8.92,366,372,1,6,1,0,630,12,83,75,1
7.68,416,292,2,0,1,1,854,45,28,76,1
8.31,297,262,3,3,5,4,396,35,69,84,1
9.33,129,123,3,7,5,1,2971,3,83,83,1
9.22,294,287,4,6,3,3,915,60,90,69,1
9.47,301,499,1,5,4,3,2201,64,69,64,2
6.24,47,266,4,0,0,4,202,42,48,88,1
8.77,26,431,3,0,3,1,2019,26,5,98,2
6.56,14,108,3,1,1,0,761,91,6,75,2
7.66,262,347,0,6,2,1,2924,88,35,81,2
8.19,364,451,4,0,3,2,2956,87,69,100,2
7.61,440,47,1,0,2,1,765,65,97,96,1
8.08,297,300,3,5,5,3,2187,22,0,68,1
9.99,264,94,0,7,4,4,2387,50,93,93,2
6.54,360,476,0,6,2,2,2703,85,21,60,2
8.7,133,32,2,7,0,3,2708,81,80,77,2
7.58,440,117,1,3,4,1,1369,55,41,78,1
6.53,75,131,0,1,2,4,974,51,83,76,2
6.63,29,250,1,0,3,2,2290,53,31,98,3
